"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
0,0,0,0,1,0,0,1,0.066
0,0,1,0,1,0,1,1,0.069
1,1,0,0,0,1,1,0,0.067
0,1,1,0,0,0,1,0,0.073
0,0,1,0,1,1,1,0,0.049
1,0,0,0,1,1,1,0,0.033
1,1,1,0,0,0,0,0,0.086
0,0,1,0,0,0,0,0,0.089
0,0,0,0,0,0,1,0,0.024
0,1,0,1,0,0,0,1,0.052
1,1,0,0,0,0,1,1,0.025
0,1,1,1,1,0,0,0,0.046
0,0,0,0,0,0,1,0,0.02
0,0,0,0,0,1,1,0,0.044
0,1,0,0,0,1,0,1,0.054
0,1,1,0,0,1,0,0,0.069
0,0,0,0,0,0,0,1,0.063
1,0,0,0,0,1,1,0,0.063
0,0,1,0,1,0,1,0,0.066
0,0,1,0,1,0,0,1,0.059
1,0,0,0,0,1,0,1,0.072
0,1,0,1,0,0,1,1,0.026
1,1,0,0,0,0,1,0,0.043
0,0,1,0,0,1,0,0,0.077
1,1,0,0,1,0,0,0,0.045
0,0,1,0,0,0,1,0,0.076
0,0,1,0,0,0,1,0,0.084
1,1,0,1,0,1,0,0,0.061
0,1,1,0,0,0,1,1,0.078
0,0,0,1,1,0,1,0,0.043
0,0,1,1,0,0,1,0,0.089
0,0,0,0,1,0,0,0,0.033
0,0,1,0,1,0,1,1,0.07
1,1,0,0,0,1,0,1,0.061
0,0,0,0,1,0,1,1,0.058
1,0,1,1,1,0,1,0,0.053
1,0,0,0,0,1,0,0,0.069
0,0,0,1,0,0,0,1,0.048
1,0,0,1,0,0,0,1,0.041
1,0,0,0,0,0,1,0,0.066
1,0,0,1,1,0,1,0,0.041
0,0,0,0,0,0,1,1,0.031
0,0,1,0,0,1,0,0,0.071
1,1,0,1,0,1,0,0,0.063
0,0,1,0,0,0,1,0,0.081
0,0,0,0,1,0,1,0,0.046
0,0,0,0,1,1,0,1,0.048
0,0,0,0,1,0,1,1,0.055
0,0,1,0,1,0,0,1,0.07
0,1,0,0,1,0,0,1,0.059
0,0,0,1,1,0,0,1,0.056
1,0,0,0,1,0,0,1,0.055
0,1,1,0,1,0,1,1,0.066
1,0,1,0,1,0,1,1,0.06
0,0,1,0,1,1,1,1,0.057
0,0,1,1,1,0,1,1,0.058
1,1,1,0,0,1,1,0,0.061
1,1,0,0,0,1,1,1,0.037
1,1,0,0,1,1,1,0,0.031
1,1,0,1,0,1,1,0,0.04
0,1,1,0,1,0,1,0,0.049
0,1,1,0,0,0,1,1,0.074
0,1,1,0,0,1,1,0,0.061
0,1,1,1,0,0,1,0,0.068
1,1,1,0,0,0,1,0,0.064
0,0,1,0,1,1,1,1,0.06
0,1,1,0,1,1,1,0,0.04
1,0,1,0,1,1,1,0,0.046
