"SL68","SL104","SL106","SL187","SL197","SLWC2","fitness"
1,0,0,0,0,0,0.397
0,1,0,0,0,0,1.395
0,0,1,0,0,0,0.42
0,0,0,1,0,0,0.787
0,0,0,0,1,0,0.418
0,0,0,0,0,1,0.382
1,1,0,0,0,0,1.31
1,0,1,0,0,0,0.553
1,0,0,1,0,0,0.925
1,0,0,0,1,0,0.672
1,0,0,0,0,1,0.694
0,1,1,0,0,0,1.34
0,1,0,1,0,0,1.408
0,1,0,0,1,0,1.233
0,1,0,0,0,1,1.254
0,0,1,1,0,0,0.718
0,0,1,0,1,0,0.411
0,0,1,0,0,1,0.402
0,0,0,1,1,0,0.649
0,0,0,1,0,1,0.745
0,0,0,0,1,1,0.416
1,1,1,0,0,0,1.091
1,1,0,1,0,0,1.287
1,1,0,0,1,0,0.961
1,1,0,0,0,1,1.297
1,0,1,1,0,0,0.788
1,0,1,0,1,0,0.544
1,0,1,0,0,1,0.52
1,0,0,1,1,0,0.901
1,0,0,1,0,1,0.827
1,0,0,0,1,1,0.681
0,1,1,1,0,0,1.35
0,1,1,0,1,0,0.832
0,1,1,0,0,1,1.369
0,1,0,1,1,0,1.14
0,1,0,1,0,1,1.123
0,1,0,0,1,1,1.215
0,0,1,1,1,0,0.605
0,0,1,1,0,1,0.677
0,0,1,0,1,1,0.442
0,0,0,1,1,1,0.679
1,1,1,1,0,0,1.253
1,1,1,0,1,0,1.03
1,1,1,0,0,1,1.033
1,1,0,1,1,0,1.13
1,1,0,1,0,1,0.982
1,1,0,0,1,1,1.183
1,0,1,1,1,0,0.795
1,0,1,1,0,1,0.772
1,0,1,0,1,1,0.622
1,0,0,1,1,1,0.858
0,1,1,1,1,0,1.188
0,1,1,1,0,1,1.278
0,1,1,0,1,1,1.182
0,1,0,1,1,1,1.056
0,0,1,1,1,1,0.561
1,1,1,1,1,0,1.102
1,1,1,1,0,1,1.093
1,1,1,0,1,1,1.1
1,1,0,1,1,1,1.081
1,0,1,1,1,1,0.694
0,1,1,1,1,1,1.052
1,1,1,1,1,1,0.852
