"A10","A3","A7","B5","B9","C11","C4","C6","D11","E10","F10","F5","G4","H7","fitness"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1440.21585903084
0,0,1,0,0,0,0,0,0,0,1,0,0,0,3394.11618257261
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2749.67713004484
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1786.2807775378
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527.64417177914
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1541.32222222222
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1468.30526315789
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1467.63583815029
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1494.32038834951
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483.6179245283
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1462.25365853659
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1456.98823529412
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1539.74
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1849.54978354978
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1873.98728813559
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1450.31400966184
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1461.16748768473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466.43518518519
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2610.52466367713
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1792.41919191919
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1393.05691056911
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1893.77844311377
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1423.55714285714
0,0,0,0,0,0,1,0,1,0,0,0,0,0,2417.22267206478
0,0,0,0,0,0,0,0,1,0,0,1,0,0,2452.1046728972
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1663.41477272727
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1508.80327868852
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2305.81151832461
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3940.52112676056
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.16740088106
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446.86341463415
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523.395
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1909.12396694215
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2889.4845814978
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1599.4954954955
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414.78431372549
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1481.83181818182
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399.19369369369
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1414.95871559633
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398.53539823009
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2497.18018018018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414.55454545455
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418.75555555556
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1989.67768595041
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1361.956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333.04208416834
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2074.91025641026
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1658.92737430168
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1451.47263681592
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1452.3619047619
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2425.12385321101
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1857.25609756098
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2056.25454545455
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1444.32420091324
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.23404255319
