"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
1,0,0,0,0,0,0,0,0.004246875
1,0,0,0,0,0,0,0,0.0021375
1,0,0,0,0,0,0,0,0.0017625
1,1,1,0,0,0,0,0,0.1632
1,1,1,0,0,0,0,0,0.1901
1,1,1,0,0,0,0,0,0.11505
1,1,1,1,0,0,0,0,0.0953
1,1,1,1,0,0,0,0,0.1663
1,1,1,1,0,0,0,0,0.133
1,1,1,1,1,0,0,0,0.1104
1,1,1,1,1,0,0,0,0.1775
1,1,1,1,1,0,0,0,0.15755
1,1,1,1,1,1,1,0,0.1895
1,1,1,1,1,1,1,0,0.22115
1,1,1,1,1,1,1,1,0.2252
1,1,1,1,1,1,1,1,0.21345
1,1,1,1,1,1,0,1,0.1653
1,1,1,1,1,1,0,1,0.14045
1,1,1,1,1,0,1,0,0.1473
1,1,1,1,1,0,1,0,0.21055
1,1,1,1,1,0,1,0,0.2273
1,1,1,1,1,0,1,1,0.221
1,1,1,1,1,0,1,1,0.22215
1,1,1,1,1,0,0,1,0.1745
1,1,1,1,1,0,0,1,0.14265
1,1,1,1,0,1,0,0,0.15245
1,1,1,1,0,1,0,0,0.1961
1,1,1,1,0,1,0,0,0.14265
1,1,1,1,0,1,1,0,0.2237
1,1,1,1,0,1,1,0,0.24185
1,1,1,1,0,1,1,1,0.2523
1,1,1,1,0,1,1,1,0.26105
1,1,1,1,0,1,0,1,0.175866666666667
1,1,1,1,0,1,0,1,0.14505
1,1,1,1,0,0,1,1,0.262
1,1,1,1,0,0,1,1,0.28205
1,1,1,1,0,0,0,1,0.2009
1,1,1,1,0,0,0,1,0.16325
1,1,1,0,1,0,0,0,0.1231
1,1,1,0,1,0,0,0,0.17895
1,1,1,0,1,0,0,0,0.13435
1,1,1,0,1,1,1,0,0.22635
1,1,1,0,1,1,1,0,0.2187
1,1,1,0,1,1,1,1,0.21415
1,1,1,0,1,1,1,1,0.20375
1,1,1,0,1,1,0,1,0.1991
1,1,1,0,1,1,0,1,0.14585
1,1,1,0,1,0,1,0,0.2381
1,1,1,0,1,0,1,0,0.22465
1,1,1,0,1,0,1,1,0.2342
1,1,1,0,1,0,1,1,0.22575
1,1,1,0,0,1,0,0,0.1738
1,1,1,0,0,1,0,0,0.15805
1,1,1,0,0,1,0,0,0.1321
1,1,1,0,0,1,1,0,0.1448
1,1,1,0,0,1,1,0,0.2332
1,1,1,0,0,1,1,0,0.25525
1,1,1,0,0,1,0,1,0.195
1,1,1,0,0,1,0,1,0.1812
1,1,1,0,0,1,0,1,0.16435
1,1,1,0,0,0,1,0,0.180833333333333
1,1,1,0,0,0,1,0,0.256866666666667
1,1,1,0,0,0,1,0,0.280683333333333
1,1,1,0,0,0,1,1,0.1646
1,1,1,0,0,0,1,1,0.2527
1,1,1,0,0,0,1,1,0.2559
1,1,1,0,0,0,0,1,0.1659
1,1,1,0,0,0,0,1,0.22
1,1,1,0,0,0,0,1,0.1743
1,1,0,1,0,0,0,0,0.22845
1,1,0,1,0,0,0,0,0.19675
1,1,0,1,1,0,0,0,0.1302
1,1,0,1,1,0,0,0,0.2316
1,1,0,1,1,0,0,0,0.18445
1,1,0,1,1,1,0,0,0.09075
1,1,0,1,1,1,0,0,0.193666666666667
1,1,0,1,1,1,0,0,0.139583333333333
1,1,0,1,1,1,1,1,0.1769
1,1,0,1,1,1,1,1,0.21575
1,1,0,1,1,1,0,1,0.2035
1,1,0,1,1,1,0,1,0.16645
1,1,0,1,1,0,1,0,0.1582
1,1,0,1,1,0,1,0,0.231
1,1,0,1,1,0,1,0,0.27395
1,1,0,1,0,1,0,0,0.1347
1,1,0,1,0,1,0,0,0.1985
1,1,0,1,0,1,0,0,0.1175
1,1,0,1,0,1,1,0,0.149633333333333
1,1,0,1,0,1,1,0,0.2581
1,1,0,1,0,1,1,0,0.23845
1,1,0,1,0,1,0,1,0.1252
1,1,0,1,0,1,0,1,0.186966666666667
1,1,0,1,0,1,0,1,0.159416666666667
1,1,0,1,0,0,1,0,0.1677
1,1,0,1,0,0,1,0,0.2655
1,1,0,1,0,0,1,0,0.2773
1,1,0,1,0,0,1,1,0.1741
1,1,0,1,0,0,1,1,0.26835
1,1,0,1,0,0,1,1,0.27635
1,1,0,1,0,0,0,1,0.1659
1,1,0,1,0,0,0,1,0.25805
1,1,0,1,0,0,0,1,0.2246
1,1,0,0,1,0,0,0,0.112
1,1,0,0,1,0,0,0,0.2273
1,1,0,0,1,0,0,0,0.15895
1,1,0,0,1,1,0,0,0.1151
1,1,0,0,1,1,0,0,0.2021
1,1,0,0,1,1,0,0,0.13735
1,1,0,0,1,1,1,0,0.1272
1,1,0,0,1,1,1,0,0.2031
1,1,0,0,1,1,1,0,0.215883333333333
1,1,0,0,1,1,1,1,0.2291
1,1,0,0,1,1,1,1,0.23915
1,1,0,0,1,1,0,1,0.0833
1,1,0,0,1,1,0,1,0.148
1,1,0,0,1,1,0,1,0.12685
1,1,0,0,1,0,1,0,0.16765
1,1,0,0,1,0,1,0,0.2702
1,1,0,0,1,0,1,0,0.2532
1,1,0,0,1,0,1,1,0.1207
1,1,0,0,1,0,1,1,0.2555
1,1,0,0,1,0,1,1,0.21555
1,1,0,0,1,0,0,1,0.1314
1,1,0,0,1,0,0,1,0.2443
1,1,0,0,1,0,0,1,0.17095
1,1,0,0,0,1,0,0,0.1737
1,1,0,0,0,1,0,0,0.2123
1,1,0,0,0,1,0,0,0.17295
1,1,0,0,0,1,1,0,0.158433333333333
1,1,0,0,0,1,1,0,0.256366666666667
1,1,0,0,0,1,1,0,0.259116666666667
1,1,0,0,0,1,1,1,0.163233333333333
1,1,0,0,0,1,1,1,0.274366666666667
1,1,0,0,0,1,1,1,0.236216666666667
1,1,0,0,0,1,0,1,0.109366666666667
1,1,0,0,0,1,0,1,0.2102
1,1,0,0,0,1,0,1,0.17825
1,1,0,0,0,0,1,0,0.1823
1,1,0,0,0,0,1,0,0.27155
1,1,0,0,0,0,1,0,0.2961
1,1,0,0,0,0,1,1,0.1726
1,1,0,0,0,0,1,1,0.267
1,1,0,0,0,0,1,1,0.28785
1,0,1,0,0,0,0,0,0.0055
1,0,1,0,0,0,0,0,0.0048
1,0,1,0,0,0,0,0,0.00495
1,0,1,1,0,0,0,0,0.09125
1,0,1,1,0,0,0,0,0.10635
1,0,1,1,1,0,0,0,0.1535
1,0,1,1,1,0,0,0,0.13875
1,0,1,1,1,1,0,0,0.1535
1,0,1,1,1,1,0,0,0.14195
1,0,1,1,1,1,1,0,0.13
1,0,1,1,1,1,1,0,0.2255
1,0,1,1,1,1,1,0,0.26405
1,0,1,1,1,1,1,1,0.1684
1,0,1,1,1,1,1,1,0.21455
1,0,1,1,1,1,0,1,0.15215
1,0,1,1,1,1,0,1,0.1401
1,0,1,1,1,0,1,0,0.11865
1,0,1,1,1,0,1,0,0.227666666666667
1,0,1,1,1,0,1,0,0.26325
1,0,1,1,1,0,1,1,0.1197
1,0,1,1,1,0,1,1,0.2326
1,0,1,1,1,0,1,1,0.22005
1,0,1,1,1,0,0,1,0.1608
1,0,1,1,1,0,0,1,0.14835
1,0,1,1,0,1,0,0,0.0859
1,0,1,1,0,1,0,0,0.09905
1,0,1,1,0,0,1,0,0.1506
1,0,1,1,0,0,1,0,0.25755
1,0,1,1,0,0,1,0,0.2691
1,0,1,1,0,0,0,1,0.0935
1,0,1,1,0,0,0,1,0.1743
1,0,1,1,0,0,0,1,0.15315
1,0,1,0,1,1,1,0,0.1348
1,0,1,0,1,1,1,0,0.2139
1,0,1,0,1,1,1,0,0.24375
1,0,1,0,1,1,1,1,0.22295
1,0,1,0,1,1,1,1,0.237
1,0,1,0,1,1,0,1,0.1141
1,0,1,0,1,1,0,1,0.10845
1,0,1,0,1,0,1,0,0.1288
1,0,1,0,1,0,1,0,0.2113
1,0,1,0,1,0,1,0,0.25255
1,0,1,0,1,0,1,1,0.1305
1,0,1,0,1,0,1,1,0.2019
