,Treatment,Rep,OD,Acetate,Butyrate,Lactate,Succinate,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA,BA Fraction,CA Fraction,BT Fraction,BU Fraction,PC Fraction,AC Fraction,BH Fraction,CC Fraction,CG Fraction,ER Fraction,DP Fraction,EL Fraction,BY Fraction,BF Fraction,CD Fraction,RI Fraction,BP Fraction,BV Fraction,CH Fraction,DF Fraction,CS Fraction,PJ Fraction,FP Fraction,EH Fraction,EC Fraction,BC Fraction,HB Fraction,BO Fraction,DL Fraction,BL Fraction,B.cereus Fraction,Total,Unclassified,Contamination?,Experiment No.,Sequenced,Peak30,Peak32,Peak35,Peak41,pH
0,ER,0.0,0.5689666666666666,4.4131,29.9305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018020969855832238,0.0,0.0,0.0034403669724770644,0.000327653997378768,0.0,0.0,0.0,0.9924639580602884,0.0,0.000163826998689384,0.0,0.0,0.000327653997378768,0.0,0.0,0.0,0.0,0.000163826998689384,0.0,0.0,0.001310615989515072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6104.0,0.0,No,2.0,MiSeqOSV003,,,,,
1,ER-FP,0.0,0.8067666666666666,0.0,30.8609,48.1944,11.2766,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002079002079002079,0.0,0.0,0.0,0.9708939708939708,0.0,0.0,0.0,0.02494802494802495,0.0,0.0,0.0,0.0,0.0002079002079002079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003742203742203742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4813.0,3.0,Yes,2.0,MiSeqOSV003,,,,,
2,AC-ER,0.0,0.6871666666666666,0.0,27.5914,46.7301,8.6136,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7357030015797789,0.0,0.0,0.0,0.2631911532385466,0.0,0.0001579778830963665,0.0,0.0,0.0004739336492890995,0.0001579778830963665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000315955766192733,0.0,0.0,6341.0,11.0,No,2.0,MiSeqOSV003,,,,,
3,ER-HB,0.0,1.7157666666666669,2.9931,53.8812,31.7583,10.5907,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012564392511622062,0.0,0.0,0.00012564392511622062,0.0,0.5738158060057796,0.00012564392511622062,0.4116094986807388,0.00025128785023244125,0.012061816811157179,0.0,0.0,0.0,0.0,0.0005025757004648825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013820831762784268,0.0,0.0,7987.0,28.0,Yes,2.0,MiSeqOSV003,,,,,
4,CC-ER,0.0,1.8933666666666664,24.6152,21.5316,71.5862,6.7671,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8989494747373686,0.0,0.10055027513756876,0.0,0.0,0.0,0.00033350008337502084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016675004168751042,0.0,0.0,5999.0,2.0,No,2.0,MiSeqOSV003,,,,,
5,ER-RI,0.0,0.3393666666666667,7.4102,42.5337,50.9935,6.7338,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003325748293366007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043409767197619464,0.010502363031682128,0.0010502363031682134,0.0,0.0,0.00017503938386136881,0.9394363731839664,0.0,0.0,0.0019254332224750567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017503938386136881,0.0,0.0,5720.0,7.0,Yes,2.0,MiSeqOSV003,,,,,
6,DP-ER,0.0,0.4411666666666666,29.0056,19.1492,38.7304,4.9461,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001702707304614337,0.0,0.0001702707304614337,0.0,0.5426528179805892,0.4563255576366423,0.0,0.0,0.0,0.00034054146092286734,0.0,0.0,0.0,0.0001702707304614337,0.0,0.0,0.0,0.0001702707304614337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5878.0,5.0,No,2.0,MiSeqOSV003,,,,,
7,BH-ER,0.0,1.1817666666666666,50.187,23.5439,50.517,5.5618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017699115044247788,0.4120353982300885,0.0,0.0,0.5874336283185839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017699115044247788,0.0,0.0,0.00017699115044247788,0.0,0.0,5659.0,9.0,No,2.0,MiSeqOSV003,,,,,
8,CA-ER,0.0,1.1059666666666663,11.1392,25.3647,63.6121,13.5639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6140885463344685,0.0,0.0,0.006811256497580211,0.0001792435920415845,0.0,0.0001792435920415845,0.0,0.3787417099838681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5580.0,1.0,No,2.0,MiSeqOSV003,,,,,
9,PC-ER,0.0,1.6145666666666667,16.9938,12.4639,37.8998,44.4248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015112588786459117,0.0,0.0,0.0,0.6635937736134201,0.0,0.0,0.00015112588786459117,0.0,0.3356505969472571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004533776635937736,0.0,0.0,6625.0,8.0,No,2.0,MiSeqOSV003,,,,,
