background_community	knock_in	background_fun	d_fun
58	6	0.066	-0.018
58	7	0.066	-0.011
58	3	0.066	0.00399999999999999
58	2	0.066	-0.00700000000000001
58	4	0.066	-0.01
58	1	0.066	-0.011
3578	2	0.069	-0.00299999999999999
3578	1	0.069	-0.00899999999999999
3578	6	0.069	-0.012
3578	4	0.069	-0.011
1267	3	0.067	-0.00600000000000001
1267	8	0.067	-0.03
1267	5	0.067	-0.036
1267	4	0.067	-0.027
237	5	0.073	-0.024
237	8	0.073	0.001
237	6	0.073	-0.012
237	4	0.073	-0.005
237	1	0.073	-0.00899999999999999
3567	8	0.049	0.011
3567	2	0.049	-0.00900000000000001
3567	1	0.049	-0.003
3567	4	0.049	-0.003
1567	2	0.033	-0.00700000000000001
1567	4	0.033	-0.002
1567	3	0.033	0.011
1567	8	0.033	0.013
123	7	0.086	-0.024
123	5	0.086	-0.037
123	8	0.086	-0.001
123	4	0.086	-0.00699999999999999
123	6	0.086	-0.02
3	8	0.089	0.00600000000000001
3	2	0.089	-0.00799999999999999
3	6	0.089	-0.016
3	1	0.089	-0.001
3	7	0.089	-0.015
3	4	0.089	0.002
3	5	0.089	-0.039
7	3	0.024	0.054
7	4	0.024	0.000999999999999994
7	1	0.024	0.056
7	2	0.024	-0.00700000000000001
7	5	0.024	0.02
7	8	0.024	0.006
7	6	0.024	0.021
248	3	0.052	0.031
248	1	0.052	0.012
248	6	0.052	-0.012
248	7	0.052	-0.021
248	5	0.052	0.003
1278	4	0.025	-0.004
1278	3	0.025	0.042
1278	5	0.025	0.021
1278	6	0.025	0.011
2345	7	0.046	0.011
2345	6	0.046	-0.004
2345	8	0.046	0.018
2345	1	0.046	0
7	1	0.02	0.072
7	2	0.02	-0.004
7	4	0.02	0.011
7	6	0.02	0.026
7	5	0.02	0.022
7	3	0.02	0.063
7	8	0.02	0.009
67	3	0.044	0.031
67	2	0.044	-0.018
67	4	0.044	-0.00600000000000001
67	1	0.044	0.045
67	5	0.044	-0.00899999999999999
67	8	0.044	-0.012
268	4	0.054	-0.014
268	5	0.054	-0.00899999999999999
268	3	0.054	0.026
268	7	0.054	-0.025
268	1	0.054	0.021
236	7	0.069	-0.00899999999999999
236	8	0.069	0.00700000000000001
236	5	0.069	-0.017
236	1	0.069	0
236	4	0.069	-0.00399999999999999
8	1	0.063	0.00599999999999999
8	7	0.063	-0.036
8	4	0.063	-0.02
8	3	0.063	0.029
8	5	0.063	0.002
8	6	0.063	-0.019
8	2	0.063	-0.002
167	3	0.063	0.003
167	4	0.063	-0.018
167	8	0.063	-0.027
167	2	0.063	-0.01
167	5	0.063	-0.029
357	1	0.066	-0.017
357	6	0.066	-0.022
357	2	0.066	-0.025
357	8	0.066	0.00499999999999999
357	4	0.066	-0.013
358	7	0.059	0.003
358	4	0.059	0.00600000000000001
358	1	0.059	0.004
358	2	0.059	0.00600000000000001
358	6	0.059	0
168	2	0.072	-0.025
168	3	0.072	0.005
168	4	0.072	-0.028
168	5	0.072	-0.027
168	7	0.072	-0.042
2478	3	0.026	0.044
2478	5	0.026	0.021
2478	6	0.026	0.005
2478	1	0.026	0
127	3	0.043	0.018
127	4	0.043	-0.00799999999999999
127	8	0.043	-0.014
127	5	0.043	-0.013
127	6	0.043	0.01
36	5	0.077	-0.027
36	1	0.077	-0.00900000000000001
36	7	0.077	-0.01
36	4	0.077	-0.004
36	8	0.077	0.001
36	2	0.077	-0.00900000000000001
125	3	0.045	0
125	7	0.045	-0.01
125	8	0.045	0.00699999999999999
125	6	0.045	-0.021
125	4	0.045	-0.017
37	6	0.076	-0.00700000000000001
37	1	0.076	-0.00600000000000001
37	5	0.076	-0.02
37	2	0.076	-0.00600000000000001
37	8	0.076	-0.002
37	4	0.076	0.002
37	8	0.084	-0.012
37	4	0.084	-0.00799999999999999
37	1	0.084	-0.015
37	2	0.084	-0.016
37	5	0.084	-0.028
37	6	0.084	-0.015
1246	7	0.061	-0.032
1246	8	0.061	-0.019
1246	3	0.061	0.005
1246	5	0.061	-0.035
2378	1	0.078	-0.003
2378	4	0.078	-0.00600000000000001
2378	5	0.078	-0.016
2378	6	0.078	-0.00800000000000001
457	3	0.043	0.012
457	8	0.043	0.015
457	1	0.043	-0.004
457	2	0.043	-0.014
457	6	0.043	-0.013
347	5	0.089	-0.025
347	2	0.089	-0.003
347	1	0.089	-0.017
347	6	0.089	-0.02
347	8	0.089	-0.00699999999999999
5	4	0.033	-0.002
5	3	0.033	0.016
5	7	0.033	0.018
5	1	0.033	-0.001
5	2	0.033	-0.003
5	8	0.033	0.034
5	6	0.033	-0.00700000000000001
3578	4	0.07	-0.00699999999999999
3578	6	0.07	-0.011
3578	2	0.07	-0.00399999999999999
3578	1	0.07	-0.00899999999999999
1268	5	0.061	-0.015
1268	3	0.061	0.012
