community	fun_rep1	fun_rep2	fun_rep3
1	0.004246875	0.0021375	0.0017625
1,2,3	0.1632	0.1901	0.11505
1,2,3,4	0.0953	0.1663	0.133
1,2,3,4,5	0.1104	0.1775	0.15755
1,2,3,4,5,6,7	NA	0.1895	0.22115
1,2,3,4,5,6,7,8	NA	0.2252	0.21345
1,2,3,4,5,6,8	NA	0.1653	0.14045
1,2,3,4,5,7	0.1473	0.21055	0.2273
1,2,3,4,5,7,8	NA	0.221	0.22215
1,2,3,4,5,8	NA	0.1745	0.14265
1,2,3,4,6	0.15245	0.1961	0.14265
1,2,3,4,6,7	NA	0.2237	0.24185
1,2,3,4,6,7,8	NA	0.2523	0.26105
1,2,3,4,6,8	NA	0.175866666666667	0.14505
1,2,3,4,7,8	NA	0.262	0.28205
1,2,3,4,8	NA	0.2009	0.16325
1,2,3,5	0.1231	0.17895	0.13435
1,2,3,5,6,7	NA	0.22635	0.2187
1,2,3,5,6,7,8	NA	0.21415	0.20375
1,2,3,5,6,8	NA	0.1991	0.14585
1,2,3,5,7	NA	0.2381	0.22465
1,2,3,5,7,8	NA	0.2342	0.22575
1,2,3,6	0.1738	0.15805	0.1321
1,2,3,6,7	0.1448	0.2332	0.25525
1,2,3,6,8	0.195	0.1812	0.16435
1,2,3,7	0.180833333333333	0.256866666666667	0.280683333333333
1,2,3,7,8	0.1646	0.2527	0.2559
1,2,3,8	0.1659	0.22	0.1743
1,2,4	NA	0.22845	0.19675
1,2,4,5	0.1302	0.2316	0.18445
1,2,4,5,6	0.09075	0.193666666666667	0.139583333333333
1,2,4,5,6,7,8	NA	0.1769	0.21575
1,2,4,5,6,8	NA	0.2035	0.16645
1,2,4,5,7	0.1582	0.231	0.27395
1,2,4,6	0.1347	0.1985	0.1175
1,2,4,6,7	0.149633333333333	0.2581	0.23845
1,2,4,6,8	0.1252	0.186966666666667	0.159416666666667
1,2,4,7	0.1677	0.2655	0.2773
1,2,4,7,8	0.1741	0.26835	0.27635
1,2,4,8	0.1659	0.25805	0.2246
1,2,5	0.112	0.2273	0.15895
1,2,5,6	0.1151	0.2021	0.13735
1,2,5,6,7	0.1272	0.2031	0.215883333333333
1,2,5,6,7,8	NA	0.2291	0.23915
1,2,5,6,8	0.0833	0.148	0.12685
1,2,5,7	0.16765	0.2702	0.2532
1,2,5,7,8	0.1207	0.2555	0.21555
1,2,5,8	0.1314	0.2443	0.17095
1,2,6	0.1737	0.2123	0.17295
1,2,6,7	0.158433333333333	0.256366666666667	0.259116666666667
1,2,6,7,8	0.163233333333333	0.274366666666667	0.236216666666667
1,2,6,8	0.109366666666667	0.2102	0.17825
1,2,7	0.1823	0.27155	0.2961
1,2,7,8	0.1726	0.267	0.28785
1,3	0.0055	0.0048	0.00495
1,3,4	NA	0.09125	0.10635
1,3,4,5	NA	0.1535	0.13875
1,3,4,5,6	NA	0.1535	0.14195
1,3,4,5,6,7	0.13	0.2255	0.26405
1,3,4,5,6,7,8	NA	0.1684	0.21455
1,3,4,5,6,8	NA	0.15215	0.1401
1,3,4,5,7	0.11865	0.227666666666667	0.26325
1,3,4,5,7,8	0.1197	0.2326	0.22005
1,3,4,5,8	NA	0.1608	0.14835
1,3,4,6	NA	0.0859	0.09905
1,3,4,7	0.1506	0.25755	0.2691
1,3,4,8	0.0935	0.1743	0.15315
1,3,5,6,7	0.1348	0.2139	0.24375
1,3,5,6,7,8	NA	0.22295	0.237
1,3,5,6,8	NA	0.1141	0.10845
1,3,5,7	0.1288	0.2113	0.25255
1,3,5,7,8	0.1305	0.2019	0.2648
1,3,5,8	0.074	0.1183	0.11545
1,3,6	0.0032	0.0038	0.0537833333333333
1,3,6,7	0.2037	0.2657	0.26505
1,3,6,8	0.111	0.0856	0.10245
1,3,7	0.15415	0.211475	0.2692
1,4	NA	0.1161	0.13555
1,4,5	NA	0.194	0.16315
1,4,5,6	NA	0.15415	0.1406
