"","foc","F"
"1","C",0
"2","E",0
"3","C-E",0.497554983536475
"4","E-M-S-T",12.0912562032296
"5","C-E-M-S-T",11.4200196172765
"6","C-E-M-T",9.53037483024748
"7","C-M",0
"8","C-M-T",8.6104250912212
"9","C-T",8.58407879511591
"10","M-T",11.2245556526682
"11","E-M-T",11.0952246070071
"12","E-M",1.52770306248583
"13","E-T",11.278371350314
"14","E-S-T",12.030689941714
"15","M-S-T",13.3055673460416
"16","E-M-S",2.68580584232527
"17","E-P-S-T",28.5238606242772
"18","C-E-P-S-T",32.1527187532521
"19","C-E-P-T",15.2965811598122
"20","M",2.60510350865721
"21","C-E-M",0.528316968781174
"22","C-P",2.86772662988356
"23","C-P-T",9.43112037315223
"24","P-T",15.8201338027754
"25","E-P-S",30.5512849129792
"26","E-P",16.5688603364037
"27","E-S",1.38529816487041
"28","P-S",33.4144028645026
"29","C-E-P",10.0102287513234
"30","C-E-M-P",11.7094348051329
"31","E-M-P",21.9501772909361
"32","C-M-P",14.9249923059404
"33","E-P-T",16.7659524353178
"34","P-S-T",33.1989726140343
"35","P",0.339957610763573
"36","E-M-P-S-T",37.2815582284598
"37","C-E-M-P-S",31.0824344495423
"38","C-M-P-S-T",23.8024857246524
"39","C-E-M-P-T",13.320361201404
"40","C-E-T",10.12096222362
"41","S",1.49481754514853
"42","S-T",11.4287393863939
"43","T",7.97124445026975
"44","E-M-P-S",35.8329307179411
"45","M-P-S-T",36.0125513575433
"46","E-M-P-T",20.4416359852523
"47","M-P",22.5361088984472
"48","M-S",1.69100520110189
"49","M-P-S",24.1573193175668
"50","C-M-P-T",15.8153021210871
"51","M-P-T",18.4011996486109
"52","-",0
"53","C-S",1.95347598657458
"54","C-E-M-P-S-T",24.5051141229292
